	time	[fba__A]	[C]	[fba__B1]	[fba__B2]	[model__D]	fba__R1	fba__R2	R3	update__R3	model__R4	vR3
46	4.6	10.0	3.74970490946	0.0	0.0	0.950295090544	0.0	0.0	0.0	1.0	0.374970490946	1.0
47	4.7	10.0	3.81187973645	0.0	0.0	0.988120263545	0.0	0.0	0.0	1.0	0.381187973645	1.0
48	4.8	10.0	3.8734355022	0.0	0.0	1.0265644978	0.0	0.0	0.0	1.0	0.38734355022	1.0
49	4.9	10.0	3.93437838878	0.0	0.0	1.06562161122	0.0	0.0	0.0	1.0	0.393437838878	1.0
50	5.0	10.0	3.99471451695	0.0	0.0	1.10528548305	0.0	0.0	0.0	1.0	0.399471451695	1.0
51	5.1	10.0	4.0544499467	0.0	0.0	1.1455500533	0.0	0.0	0.0	1.0	0.40544499467	1.0
52	5.2	10.0	4.1135906777	0.0	0.0	1.1864093223	0.0	0.0	0.0	1.0	0.41135906777	1.0
53	5.3	10.0	4.17214264989	0.0	0.0	1.22785735011	0.0	0.0	0.0	1.0	0.417214264989	1.0
54	5.4	10.0	4.23011174391	0.0	0.0	1.26988825609	0.0	0.0	0.0	1.0	0.423011174391	1.0
55	5.5	10.0	4.28750378163	0.0	0.0	1.31249621837	0.0	0.0	0.0	1.0	0.428750378163	1.0
56	5.6	10.0	4.3443245267	0.0	0.0	1.3556754733	0.0	0.0	0.0	1.0	0.43443245267	1.0
57	5.7	10.0	4.40057968496	0.0	0.0	1.39942031504	0.0	0.0	0.0	1.0	0.440057968496	1.0
58	5.8	10.0	4.45627490505	0.0	0.0	1.44372509495	0.0	0.0	0.0	1.0	0.445627490505	1.0
59	5.9	10.0	4.51141577883	0.0	0.0	1.48858422117	0.0	0.0	0.0	1.0	0.451141577883	1.0
60	6.0	10.0	4.56600788283	0.0	0.0	1.53399211717	0.0	0.0	0.0	1.0	0.456600788283	1.0
61	6.1	10.0	4.62005672188	0.0	0.0	1.57994327812	0.0	0.0	0.0	1.0	0.462005672188	1.0
62	6.2	10.0	4.6735677169	0.0	0.0	1.6264322831	0.0	0.0	0.0	1.0	0.46735677169	1.0
63	6.3	10.0	4.72654623416	0.0	0.0	1.67345376584	0.0	0.0	0.0	1.0	0.472654623416	1.0
64	6.4	10.0	4.77899758578	0.0	0.0	1.72100241422	0.0	0.0	0.0	1.0	0.477899758578	1.0
65	6.5	10.0	4.83092703029	0.0	0.0	1.76907296971	0.0	0.0	0.0	1.0	0.483092703029	1.0
66	6.6	10.0	4.8823397732	0.0	0.0	1.8176602268	0.0	0.0	0.0	1.0	0.48823397732	1.0
67	6.7	10.0	4.93324096748	0.0	0.0	1.86675903252	0.0	0.0	0.0	1.0	0.493324096748	1.0
68	6.8	10.0	4.98363571415	0.0	0.0	1.91636428585	0.0	0.0	0.0	1.0	0.498363571415	1.0
69	6.9	10.0	5.0335290628	0.0	0.0	1.9664709372	0.0	0.0	0.0	1.0	0.50335290628	1.0
70	7.0	10.0	5.08292601209	0.0	0.0	2.01707398791	0.0	0.0	0.0	1.0	0.508292601209	1.0
71	7.1	10.0	5.13183151032	0.0	0.0	2.06816848968	0.0	0.0	0.0	1.0	0.513183151032	1.0
72	7.2	10.0	5.18025045594	0.0	0.0	2.11974954406	0.0	0.0	0.0	1.0	0.518025045594	1.0
73	7.3	10.0	5.22818769806	0.0	0.0	2.17181230194	0.0	0.0	0.0	1.0	0.522818769806	1.0
74	7.4	10.0	5.27564803698	0.0	0.0	2.22435196302	0.0	0.0	0.0	1.0	0.527564803698	1.0
