	id	model_type	name	readonly	readwrite	requirement
2046	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2047	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2048	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2049	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2050	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2051	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2052	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2053	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2054	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2055	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2056	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2057	MG_077_078_079_080_321_PENTAMER	ProteinComplex	oligopeptide ABC transporter	x		
2058	MG_289_290_291_PENTAMER	ProteinComplex	phosphonate ABC transporter	x		
2059	MG_410_411_412_PENTAMER	ProteinComplex	phosphate ABC transporter	x		
2060	MG_040_119_120_121_PENTAMER	ProteinComplex	Monosaccharide (riboside/galactoside) ABC transporter	x		
2061	MG_467_468_526_TETRAMER	ProteinComplex	salivaricin A ABC transporter	x		
2062	MG_042_043_044_045_PENTAMER	ProteinComplex	spermidine/putrescine (polyamine) ABC transporter	x		
2063	MG_042_043_044_045_PENTAMER	ProteinComplex	spermidine/putrescine (polyamine) ABC transporter	x		
2064	MG_390_DIMER	ProteinComplex	toxin ABC transporter, ATP-binding/permease protein	x		
2065	MG_322_323_TETRAMER	ProteinComplex	potassium uptake protein, TrkH family, putative	x		
2066	MG_061_MONOMER	ProteinMonomer	Mycoplasma MFS transporter	x		
2067	MG_061_MONOMER	ProteinMonomer	Mycoplasma MFS transporter	x		
2068	MG_061_MONOMER	ProteinMonomer	Mycoplasma MFS transporter	x		
2069	MG_382_TETRAMER	ProteinComplex	uridine kinase	x		
2070	MG_382_TETRAMER	ProteinComplex	uridine kinase	x		
2071	MG_030_TRIMER	ProteinComplex	uracil phosphoribosyltransferase	x		
2072	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
2073	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
2074	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
2075	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
2076	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
2077	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
2078	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
2079	MG_265_DIMER	ProteinComplex	sugar phosphatase	x		
