Flux	Value
R_TX_cyclobutane_dTdT	0
R_UshA_cyclobutane_dTMPdTMP	0
R_TX_cyclodA	0
R_UshA_cyclodAMP	0
R_TX_cyclodG	0
R_UshA_cyclodGMP	0
R_Apts_Cys	0.00239515747846283
R_Cdd1	0.00886997409242771
R_TX_CYTD	0.0213090277281197
R_TX_DA	0.0348351126715298
R_Gmk3	3.19482221738
R_Gmk4	0.18793071867
R_PfkA3	3.89633110334243
R_Pgk3	7.29322226461693
R_Pyk_DADP	0
R_GlyA1	0
R_TatD_dAMP	0
R_TX_ComEC_dApdAp	0
R_Cdd2	0
R_UshA_dCMP	0
R_TX_dC64dC	0
R_UshA_dCMP64dCMP	0
R_TX_dC64dC_dewar	0
R_UshA_dCMP64dCMP_dewar	0
R_TX_dC64dT	0
R_UshA_dCMP64dTMP	0
R_TX_dC64dT_dewar	0
R_UshA_dCMP64dTMP_dewar	0
R_DcdK	0
R_Pyk_DCDP	0.00655866222252741
R_TatD_dCMP	0
R_UshA_dCMP_GLYC	0
R_TX_ComEC_dCpdCp	0
R_TX_dC_GLYC	0
R_TX_DDCA	0
R_PlsC1	0
R_PlsX1	0
R_YbiV_deoxyG6P	0
R_DeoD3	-0.00655866222252742
R_NrdEF_GDP	0
R_Pgk5	0.00655866222252741
R_Pyk_DGDP	0
R_TatD_dGMP	0
R_TX_ComEC_dGpdGp	0
R_DhaK	0
R_TX_DHdT	0
R_UshA_DHdTMP	0
R_TX_DHdU	0
R_UshA_DHdUMP	0
R_DhfR1	0
R_ThyA	0
R_TX_dhpdU	0
R_UshA_dhpdUMP	0
R_TX_diacylglycerolCys	0
R_DeoD1	2.12016192740746E-17
R_TX_dINS	0
R_UshA_dINSMP	0
R_TX_NormM_doxorubicin	0
R_GapA	7.76965863961264
R_Pgk2	0.705225343490192
R_Pgk4	-1.0198397331
R_DeoD8	-0.000621939334726
R_Pdp1	0.000621939334726
R_Pdp2	-0.0141382252245
R_UshA_dTMP	0
R_TX_dT64dC	0
R_UshA_dTMP64dCMP	0
R_TX_dT64dC_dewar	0
R_UshA_dTMP64dCMP_dewar	0
R_TX_dT64dT	0
R_UshA_dTMP64dTMP	0
R_TX_dT64dT_dewar	0
R_UshA_dTMP64dTMP_dewar	0
R_Pyk_DTDP	0.0141382252245023
R_TatD_dTMP	0
R_UshA_dTMP_GLY	0
R_TX_ComEC_dTpdTp	0
R_TX_dT_GLYC	0
R_UshA_dUMP	0
R_NrdEF_UDP	0
R_Pyk_DUDP	0
R_TX_dXAN	0
R_UshA_dXANMP	0
R_TX_e1dA	0
R_UshA_e1dAMP	0
R_TX_e1dG	0
R_UshA_e1dGMP	0
R_TX_e3dA	0
R_UshA_e3dAMP	0
R_TX_e3dC	0
R_UshA_e3dCMP	0
R_TX_e3dG	0
R_UshA_e3dGMP	0
R_TX_e3dT	0
R_UshA_e3dTMP	0
R_TX_e4dC	0
R_UshA_e4dCMP	0
R_TalA	-0.00553902725789595
R_Tkt2	-0.00553902725789521
R_TX_e5dC	0
R_UshA_e5dCMP	0
R_TX_e6dA	0
R_UshA_e6dAMP	0
R_TX_e7dA	0
R_UshA_e7dAMP	0
R_TX_e7dG	0
R_UshA_e7dGMP	0
R_TX_e8dG	0
R_UshA_e8dGMP	0
R_TX_NormM_enoxacin	0
R_TX_epsilon1N2dG	0
R_UshA_epsilon1N2dGMP	0
R_TX_epsilon1N6dA	0
R_UshA_epsilon1N6dAMP	0
R_TX_epsilon3N4dC	0
R_UshA_epsilon3N4dCMP	0
R_TX_epsilonN23dG	0
R_UshA_epsilonN23dGMP	0
R_TX_NormM_ethidium	0
R_GlpQ2	0
R_MG385r2	0
R_TX_FRUPTS	0
R_TX_f5dU	0
R_UshA_f5dUMP	0
R_PfkA2	0
R_PfkA4	0
